ac_no,ac_name,district,region_5way,reservation,is_reserved
1,Gummidipoondi,Tiruvallur,Chennai_Metro,GEN,0
2,Ponneri,Tiruvallur,Chennai_Metro,SC,1
3,Tiruttani,Tiruvallur,Chennai_Metro,GEN,0
4,Thiruvallur,Tiruvallur,Chennai_Metro,GEN,0
5,Poonamallee,Tiruvallur,Chennai_Metro,SC,1
6,Avadi,Tiruvallur,Chennai_Metro,GEN,0
7,Maduravoyal,Tiruvallur,Chennai_Metro,GEN,0
8,Ambattur,Tiruvallur,Chennai_Metro,GEN,0
9,Madavaram,Tiruvallur,Chennai_Metro,GEN,0
10,Thiruvottiyur,Tiruvallur,Chennai_Metro,GEN,0
11,Dr. Radhakrishnan Nagar,Chennai,Chennai_Metro,GEN,0
12,Perambur,Chennai,Chennai_Metro,GEN,0
13,Kolathur,Chennai,Chennai_Metro,GEN,0
14,Villivakkam,Chennai,Chennai_Metro,GEN,0
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai_Metro,SC,1
16,Egmore,Chennai,Chennai_Metro,SC,1
17,Royapuram,Chennai,Chennai_Metro,GEN,0
18,Harbour,Chennai,Chennai_Metro,GEN,0
19,Chepauk-Thiruvallikeni,Chennai,Chennai_Metro,GEN,0
20,Thousand Lights,Chennai,Chennai_Metro,GEN,0
21,Anna Nagar,Chennai,Chennai_Metro,GEN,0
22,Virugampakkam,Chennai,Chennai_Metro,GEN,0
23,Saidapet,Chennai,Chennai_Metro,GEN,0
24,Thiyagarayanagar,Chennai,Chennai_Metro,GEN,0
25,Mylapore,Chennai,Chennai_Metro,GEN,0
26,Velachery,Chennai,Chennai_Metro,GEN,0
27,Sholinganallur,Chengalpattu,Chennai_Metro,GEN,0
28,Alandur,Kancheepuram,Chennai_Metro,GEN,0
29,Sriperumbudur,Kancheepuram,Chennai_Metro,SC,1
30,Pallavaram,Chengalpattu,Chennai_Metro,GEN,0
31,Tambaram,Chengalpattu,Chennai_Metro,GEN,0
32,Chengalpattu,Chengalpattu,Chennai_Metro,GEN,0
33,Thiruporur,Chengalpattu,Chennai_Metro,GEN,0
34,Cheyyur,Chengalpattu,Chennai_Metro,SC,1
35,Madurantakam,Chengalpattu,Chennai_Metro,SC,1
36,Uthiramerur,Kancheepuram,Chennai_Metro,GEN,0
37,Kancheepuram,Kancheepuram,Chennai_Metro,GEN,0
38,Arakkonam,Ranipet,North,SC,1
39,Sholingur,Ranipet,North,GEN,0
40,Katpadi,Vellore,North,GEN,0
41,Ranipet,Ranipet,North,GEN,0
42,Arcot,Ranipet,North,GEN,0
43,Vellore,Vellore,North,GEN,0
44,Anaikattu,Vellore,North,GEN,0
45,Kilvaithinankuppam,Vellore,North,SC,1
46,Gudiyattam,Vellore,North,SC,1
47,Vaniyambadi,Tirupattur,North,GEN,0
48,Ambur,Tirupattur,North,GEN,0
49,Jolarpet,Tirupattur,North,GEN,0
50,Tirupattur,Tirupattur,North,GEN,0
51,Uthangarai,Krishnagiri,North,SC,1
52,Bargur,Krishnagiri,North,GEN,0
53,Krishnagiri,Krishnagiri,North,GEN,0
54,Veppanahalli,Krishnagiri,North,GEN,0
55,Hosur,Krishnagiri,North,GEN,0
56,Thalli,Krishnagiri,North,GEN,0
57,Palacode,Dharmapuri,North,GEN,0
58,Pennagaram,Dharmapuri,North,GEN,0
59,Dharmapuri,Dharmapuri,North,GEN,0
60,Pappireddippatti,Dharmapuri,North,GEN,0
61,Harur,Dharmapuri,North,SC,1
62,Chengam,Tiruvannamalai,North,SC,1
63,Tiruvannamalai,Tiruvannamalai,North,GEN,0
64,Kilpennathur,Tiruvannamalai,North,GEN,0
65,Kalasapakkam,Tiruvannamalai,North,GEN,0
66,Polur,Tiruvannamalai,North,GEN,0
67,Arani,Tiruvannamalai,North,GEN,0
68,Cheyyar,Tiruvannamalai,North,GEN,0
69,Vandavasi,Tiruvannamalai,North,SC,1
70,Gingee,Viluppuram,North,GEN,0
71,Mailam,Viluppuram,North,GEN,0
72,Tindivanam,Viluppuram,North,SC,1
73,Vanur,Viluppuram,North,SC,1
74,Viluppuram,Viluppuram,North,GEN,0
75,Vikravandi,Viluppuram,North,GEN,0
76,Tirukkoyilur,Viluppuram,North,GEN,0
77,Ulundurpettai,Kallakurichi,North,GEN,0
78,Rishivandiyam,Kallakurichi,North,GEN,0
79,Sankarapuram,Kallakurichi,North,GEN,0
80,Kallakurichi,Kallakurichi,North,SC,1
81,Gangavalli,Salem,West,SC,1
82,Attur,Salem,West,SC,1
83,Yercaud,Salem,West,ST,1
84,Omalur,Salem,West,GEN,0
85,Mettur,Salem,West,GEN,0
86,Edappadi,Salem,West,GEN,0
87,Sankari,Salem,West,GEN,0
88,Salem West,Salem,West,GEN,0
89,Salem North,Salem,West,GEN,0
90,Salem South,Salem,West,GEN,0
91,Veerapandi,Salem,West,GEN,0
92,Rasipuram,Namakkal,West,SC,1
93,Senthamangalam,Namakkal,West,ST,1
94,Namakkal,Namakkal,West,GEN,0
95,Paramathi-Velur,Namakkal,West,GEN,0
96,Tiruchengodu,Namakkal,West,GEN,0
97,Kumarapalayam,Namakkal,West,GEN,0
98,Erode East,Erode,West,GEN,0
99,Erode West,Erode,West,GEN,0
100,Modakkurichi,Erode,West,GEN,0
101,Dharapuram,Tiruppur,West,SC,1
102,Kangayam,Tiruppur,West,GEN,0
103,Perundurai,Erode,West,GEN,0
104,Bhavani,Erode,West,GEN,0
105,Anthiyur,Erode,West,GEN,0
106,Gobichettipalayam,Erode,West,GEN,0
107,Bhavanisagar,Erode,West,SC,1
108,Udhagamandalam,The Nilgiris,West,GEN,0
109,Gudalur,The Nilgiris,West,SC,1
110,Coonoor,The Nilgiris,West,GEN,0
111,Mettuppalayam,Coimbatore,West,GEN,0
112,Avanashi,Tiruppur,West,SC,1
113,Tiruppur North,Tiruppur,West,GEN,0
114,Tiruppur South,Tiruppur,West,GEN,0
115,Palladam,Tiruppur,West,GEN,0
116,Sulur,Coimbatore,West,GEN,0
117,Kavundampalayam,Coimbatore,West,GEN,0
118,Coimbatore North,Coimbatore,West,GEN,0
119,Thondamuthur,Coimbatore,West,GEN,0
120,Coimbatore South,Coimbatore,West,GEN,0
121,Singanallur,Coimbatore,West,GEN,0
122,Kinathukadavu,Coimbatore,West,GEN,0
123,Pollachi,Coimbatore,West,GEN,0
124,Valparai,Coimbatore,West,SC,1
125,Udumalaipettai,Tiruppur,West,GEN,0
126,Madathukulam,Tiruppur,West,GEN,0
127,Palani,Dindigul,Central,GEN,0
128,Oddanchatram,Dindigul,Central,GEN,0
129,Athoor,Dindigul,Central,GEN,0
130,Nilakkottai,Dindigul,Central,SC,1
131,Natham,Dindigul,Central,GEN,0
132,Dindigul,Dindigul,Central,GEN,0
133,Vedasandur,Dindigul,Central,GEN,0
134,Aravakurichi,Karur,Central,GEN,0
135,Karur,Karur,Central,GEN,0
136,Krishnarayapuram,Karur,Central,SC,1
137,Kulithalai,Karur,Central,GEN,0
138,Manapparai,Tiruchirappalli,Central,GEN,0
139,Srirangam,Tiruchirappalli,Central,GEN,0
140,Tiruchirappalli West,Tiruchirappalli,Central,GEN,0
141,Tiruchirappalli East,Tiruchirappalli,Central,GEN,0
142,Thiruverumbur,Tiruchirappalli,Central,GEN,0
143,Lalgudi,Tiruchirappalli,Central,GEN,0
144,Manachanallur,Tiruchirappalli,Central,GEN,0
145,Musiri,Tiruchirappalli,Central,GEN,0
146,Thuraiyur,Tiruchirappalli,Central,SC,1
147,Perambalur,Perambalur,Central,SC,1
148,Kunnam,Perambalur,Central,GEN,0
149,Ariyalur,Ariyalur,Central,GEN,0
150,Jayankondam,Ariyalur,Central,GEN,0
151,Tittakudi,Cuddalore,Central,SC,1
152,Vriddhachalam,Cuddalore,Central,GEN,0
153,Neyveli,Cuddalore,Central,GEN,0
154,Panruti,Cuddalore,Central,GEN,0
155,Cuddalore,Cuddalore,Central,GEN,0
156,Kurinjipadi,Cuddalore,Central,GEN,0
157,Bhuvanagiri,Cuddalore,Central,GEN,0
158,Chidambaram,Cuddalore,Central,GEN,0
159,Kattumannarkoil,Cuddalore,Central,SC,1
160,Sirkazhi,Mayiladuthurai,Central,SC,1
161,Mayiladuthurai,Mayiladuthurai,Central,GEN,0
162,Poompuhar,Mayiladuthurai,Central,GEN,0
163,Nagapattinam,Nagapattinam,Central,GEN,0
164,Kilvelur,Nagapattinam,Central,SC,1
165,Vedaranyam,Nagapattinam,Central,GEN,0
166,Thiruthuraipoondi,Thiruvarur,Central,SC,1
167,Mannargudi,Thiruvarur,Central,GEN,0
168,Thiruvarur,Thiruvarur,Central,GEN,0
169,Nannilam,Thiruvarur,Central,GEN,0
170,Thiruvidaimarudur,Thanjavur,Central,SC,1
171,Kumbakonam,Thanjavur,Central,GEN,0
172,Papanasam,Thanjavur,Central,GEN,0
173,Thiruvaiyaru,Thanjavur,Central,GEN,0
174,Thanjavur,Thanjavur,Central,GEN,0
175,Orathanadu,Thanjavur,Central,GEN,0
176,Pattukkottai,Thanjavur,Central,GEN,0
177,Peravurani,Thanjavur,Central,GEN,0
178,Gandharvakottai,Pudukkottai,Central,SC,1
179,Viralimalai,Pudukkottai,Central,GEN,0
180,Pudukkottai,Pudukkottai,Central,GEN,0
181,Thirumayam,Pudukkottai,Central,GEN,0
182,Alangudi,Pudukkottai,Central,GEN,0
183,Aranthangi,Pudukkottai,Central,GEN,0
184,Karaikudi,Sivaganga,South,GEN,0
185,Tiruppattur,Sivaganga,South,GEN,0
186,Sivaganga,Sivaganga,South,GEN,0
187,Manamadurai,Sivaganga,South,SC,1
188,Melur,Madurai,South,GEN,0
189,Madurai East,Madurai,South,GEN,0
190,Sholavandan,Madurai,South,SC,1
191,Madurai North,Madurai,South,GEN,0
192,Madurai South,Madurai,South,GEN,0
193,Madurai Central,Madurai,South,GEN,0
194,Madurai West,Madurai,South,GEN,0
195,Thiruparankundram,Madurai,South,GEN,0
196,Thirumangalam,Madurai,South,GEN,0
197,Usilampatti,Madurai,South,GEN,0
198,Andipatti,Theni,South,GEN,0
199,Periyakulam,Theni,South,SC,1
200,Bodinayakanur,Theni,South,GEN,0
201,Cumbum,Theni,South,GEN,0
202,Rajapalayam,Virudhunagar,South,GEN,0
203,Srivilliputhur,Virudhunagar,South,SC,1
204,Sattur,Virudhunagar,South,GEN,0
205,Sivakasi,Virudhunagar,South,GEN,0
206,Virudhunagar,Virudhunagar,South,GEN,0
207,Aruppukkottai,Virudhunagar,South,GEN,0
208,Tiruchuli,Virudhunagar,South,GEN,0
209,Paramakudi,Ramanathapuram,South,SC,1
210,Tiruvadanai,Ramanathapuram,South,GEN,0
211,Ramanathapuram,Ramanathapuram,South,GEN,0
212,Mudhukulathur,Ramanathapuram,South,GEN,0
213,Vilathikulam,Thoothukudi,South,GEN,0
214,Thoothukkudi,Thoothukudi,South,GEN,0
215,Tiruchendur,Thoothukudi,South,GEN,0
216,Srivaikuntam,Thoothukudi,South,GEN,0
217,Ottapidaram,Thoothukudi,South,SC,1
218,Kovilpatti,Thoothukudi,South,GEN,0
219,Sankarankovil,Tenkasi,South,SC,1
220,Vasudevanallur,Tenkasi,South,SC,1
221,Kadayanallur,Tenkasi,South,GEN,0
222,Tenkasi,Tenkasi,South,GEN,0
223,Alangulam,Tenkasi,South,GEN,0
224,Tirunelveli,Tirunelveli,South,GEN,0
225,Ambasamudram,Tirunelveli,South,GEN,0
226,Palayamkottai,Tirunelveli,South,GEN,0
227,Nanguneri,Tirunelveli,South,GEN,0
228,Radhapuram,Tirunelveli,South,GEN,0
229,Kanniyakumari,Kanniyakumari,South,GEN,0
230,Nagercoil,Kanniyakumari,South,GEN,0
231,Colachal,Kanniyakumari,South,GEN,0
232,Padmanabhapuram,Kanniyakumari,South,GEN,0
233,Vilavancode,Kanniyakumari,South,GEN,0
234,Killiyoor,Kanniyakumari,South,GEN,0
