ac_no,ac_name,district,region_5way,reservation,is_reserved,winner_party_2016,winner_alliance_2016,runner_up_party_2016,runner_up_alliance_2016,winner_party_2021,winner_alliance_2021,runner_up_party_2021,runner_up_alliance_2021,winner_votes_2021,runner_up_votes_2021,total_valid_votes_2021,margin_pct_2021,vote_share_2021,proj_2026_dmk_alliance_pct,proj_2026_aiadmk_nda_pct,proj_2026_tvk_pct,proj_2026_ntk_pct,proj_2026_others_pct,proj_2026_winner,proj_2026_margin_pct
76,Tirukkoyilur,Viluppuram,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.468029,0.392671,0.072607,0.029713,0.036979,DMK_ALLIANCE,0.075358
77,Ulundurpettai,Kallakurichi,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.438117,0.373246,0.088038,0.06662,0.033979,DMK_ALLIANCE,0.064871
78,Rishivandiyam,Kallakurichi,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.472364,0.342952,0.104633,0.033389,0.046662,DMK_ALLIANCE,0.129412
79,Sankarapuram,Kallakurichi,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.434553,0.367091,0.097485,0.038374,0.062497,DMK_ALLIANCE,0.067462
80,Kallakurichi,Kallakurichi,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.370377,0.446334,0.086616,0.041261,0.055412,AIADMK_NDA,0.075957
81,Gangavalli,Salem,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.416843,0.445191,0.078835,0.025123,0.034008,AIADMK_NDA,0.028348
82,Attur,Salem,West,SC,1,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.375674,0.415944,0.112456,0.056727,0.039199,AIADMK_NDA,0.04027
83,Yercaud,Salem,West,ST,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.355655,0.452581,0.100597,0.055624,0.035542,AIADMK_NDA,0.096926
84,Omalur,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.363251,0.444453,0.107353,0.046086,0.038858,AIADMK_NDA,0.081202
85,Mettur,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.373751,0.480878,0.085543,0.006904,0.052923,AIADMK_NDA,0.107127
86,Edappadi,Salem,West,GEN,0,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.368204,0.453533,0.087797,0.04145,0.049017,AIADMK_NDA,0.085329
87,Sankari,Salem,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.352391,0.439533,0.11252,0.036643,0.058913,AIADMK_NDA,0.087142
88,Salem West,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.350738,0.447407,0.115286,0.049805,0.036764,AIADMK_NDA,0.096669
89,Salem North,Salem,West,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.50425,0.362148,0.101817,0.019849,0.011937,DMK_ALLIANCE,0.142102
90,Salem South,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.372717,0.451204,0.090064,0.028211,0.057803,AIADMK_NDA,0.078487
91,Veerapandi,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.357877,0.468525,0.105326,0.039182,0.02909,AIADMK_NDA,0.110648
92,Rasipuram,Namakkal,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.358984,0.135427,0.462766,0.027317,0.015507,TVK,0.103782
93,Senthamangalam,Namakkal,West,ST,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.4898,0.358368,0.116474,0.013288,0.02207,DMK_ALLIANCE,0.131432
94,Namakkal,Namakkal,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.439501,0.361765,0.105477,0.039407,0.05385,DMK_ALLIANCE,0.077736
95,Paramathi-Velur,Namakkal,West,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.381687,0.44975,0.080189,0.031028,0.057347,AIADMK_NDA,0.068063
96,Tiruchengodu,Namakkal,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.441838,0.368135,0.101959,0.015126,0.072942,DMK_ALLIANCE,0.073703
97,Kumarapalayam,Namakkal,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.354361,0.444979,0.106153,0.044546,0.04996,AIADMK_NDA,0.090618
98,Erode East,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.439861,0.3783,0.100756,0.011659,0.069425,DMK_ALLIANCE,0.061561
99,Erode West,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.46689,0.362921,0.107521,0.013817,0.048851,DMK_ALLIANCE,0.103969
100,Modakkurichi,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.270965,0.35249,0.105525,0.032763,0.238257,AIADMK_NDA,0.081525
101,Dharapuram,Tiruppur,West,SC,1,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.479877,0.352318,0.118076,0.036473,0.013255,DMK_ALLIANCE,0.127559
102,Kangayam,Tiruppur,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.336877,0.134916,0.488182,0.034162,0.005863,TVK,0.151305
103,Perundurai,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.354486,0.46949,0.11205,0.027315,0.036659,AIADMK_NDA,0.115004
104,Bhavani,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.369491,0.45887,0.110179,0.033528,0.027933,AIADMK_NDA,0.089379
105,Anthiyur,Erode,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.489862,0.375161,0.081352,0.006297,0.047328,DMK_ALLIANCE,0.114701
106,Gobichettipalayam,Erode,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.334214,0.480549,0.131753,0.013894,0.039591,AIADMK_NDA,0.146335
107,Bhavanisagar,Erode,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,0.0,0.0,0.373137,0.44389,0.09448,0.052599,0.035893,AIADMK_NDA,0.070753
108,Udhagamandalam,The Nilgiris,West,GEN,0,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.43038,0.386678,0.110718,0.018243,0.053981,DMK_ALLIANCE,0.043702
109,Gudalur,The Nilgiris,West,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.373355,0.44557,0.104301,0.033591,0.043184,AIADMK_NDA,0.072215
110,Coonoor,The Nilgiris,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.441132,0.373126,0.109135,0.02,0.056607,DMK_ALLIANCE,0.068006
111,Mettuppalayam,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.36068,0.463777,0.091424,0.039538,0.044581,AIADMK_NDA,0.103097
112,Avanashi,Tiruppur,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.371218,0.441889,0.1041,0.032167,0.050625,AIADMK_NDA,0.070671
113,Tiruppur North,Tiruppur,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,0.0,0.0,0.377525,0.493217,0.102845,0.006062,0.020351,AIADMK_NDA,0.115692
114,Tiruppur South,Tiruppur,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.459027,0.366752,0.122118,0.020102,0.032002,DMK_ALLIANCE,0.092275
115,Palladam,Tiruppur,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.348217,0.439398,0.122847,0.01975,0.069789,AIADMK_NDA,0.091181
116,Sulur,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.353697,0.45902,0.113624,0.037969,0.035691,AIADMK_NDA,0.105323
117,Kavundampalayam,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.353077,0.47443,0.126721,0.005957,0.039815,AIADMK_NDA,0.121353
118,Coimbatore North,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.350524,0.474879,0.100792,0.034336,0.039469,AIADMK_NDA,0.124355
119,Thondamuthur,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.364655,0.466309,0.106166,0.036336,0.026534,AIADMK_NDA,0.101654
120,Coimbatore South,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,MNM,OTHERS,0,0,0,0.0,0.0,0.043868,0.441413,0.105162,0.043214,0.366342,AIADMK_NDA,0.075071
121,Singanallur,Coimbatore,West,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.389033,0.433316,0.086295,0.037872,0.053485,AIADMK_NDA,0.044283
122,Kinathukadavu,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.336646,0.466659,0.100267,0.033316,0.063112,AIADMK_NDA,0.130013
123,Pollachi,Coimbatore,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.368545,0.450047,0.104195,0.01929,0.057923,AIADMK_NDA,0.081502
124,Valparai,Coimbatore,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,0.0,0.0,0.382292,0.457775,0.091735,0.014702,0.053496,AIADMK_NDA,0.075483
125,Udumalaipettai,Tiruppur,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.366517,0.436693,0.108452,0.039552,0.048787,AIADMK_NDA,0.070176
126,Madathukulam,Tiruppur,West,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.341001,0.432658,0.112571,0.047912,0.065858,AIADMK_NDA,0.091657
127,Palani,Dindigul,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.471741,0.374559,0.059606,0.046101,0.047992,DMK_ALLIANCE,0.097182
128,Oddanchatram,Dindigul,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.463645,0.379643,0.06745,0.029636,0.059625,DMK_ALLIANCE,0.084002
129,Athoor,Dindigul,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.495034,0.381415,0.047194,0.02236,0.053997,DMK_ALLIANCE,0.113619
130,Nilakkottai,Dindigul,Central,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.404617,0.471406,0.06531,0.04447,0.014196,AIADMK_NDA,0.066789
131,Natham,Dindigul,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.369808,0.477361,0.07388,0.037294,0.041657,AIADMK_NDA,0.107553
132,Dindigul,Dindigul,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,CPI(M),DMK_ALLIANCE,0,0,0,0.0,0.0,0.388704,0.461442,0.069545,0.04444,0.035869,AIADMK_NDA,0.072738
133,Vedasandur,Dindigul,Central,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.479499,0.384169,0.053571,0.044915,0.037846,DMK_ALLIANCE,0.09533
134,Aravakurichi,Karur,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.456197,0.40114,0.038151,0.054327,0.050186,DMK_ALLIANCE,0.055057
135,Karur,Karur,Central,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.461866,0.395523,0.051785,0.050697,0.040128,DMK_ALLIANCE,0.066343
136,Krishnarayapuram,Karur,Central,SC,1,AIADMK,AIADMK_NDA,IND,OTHERS,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.387553,0.172681,0.401363,0.032448,0.005954,TVK,0.01381
137,Kulithalai,Karur,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.486787,0.355055,0.075636,0.037046,0.045476,DMK_ALLIANCE,0.131732
138,Manapparai,Tiruchirappalli,Central,GEN,0,AIADMK,AIADMK_NDA,IUML,OTHERS,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.487613,0.378456,0.038952,0.046825,0.048154,DMK_ALLIANCE,0.109157
139,Srirangam,Tiruchirappalli,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.457007,0.358601,0.073736,0.055774,0.054882,DMK_ALLIANCE,0.098406
140,Tiruchirappalli West,Tiruchirappalli,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.472558,0.38356,0.065406,0.019577,0.058899,DMK_ALLIANCE,0.088998
141,Tiruchirappalli East,Tiruchirappalli,Central,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.480219,0.399719,0.054877,0.018989,0.046197,DMK_ALLIANCE,0.0805
142,Thiruverumbur,Tiruchirappalli,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.471311,0.390365,0.045551,0.042287,0.050488,DMK_ALLIANCE,0.080946
143,Lalgudi,Tiruchirappalli,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.475302,0.413041,0.058641,0.03252,0.020496,DMK_ALLIANCE,0.062261
144,Manachanallur,Tiruchirappalli,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.474863,0.366419,0.074812,0.035131,0.048776,DMK_ALLIANCE,0.108444
145,Musiri,Tiruchirappalli,Central,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.467465,0.37612,0.054773,0.03801,0.063632,DMK_ALLIANCE,0.091345
146,Thuraiyur,Tiruchirappalli,Central,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.491716,0.36356,0.071083,0.038424,0.035217,DMK_ALLIANCE,0.128156
147,Perambalur,Perambalur,Central,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.541643,0.355812,0.041447,0.019795,0.041303,DMK_ALLIANCE,0.185831
148,Kunnam,Perambalur,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.443994,0.402278,0.08183,0.028631,0.043268,DMK_ALLIANCE,0.041716
149,Ariyalur,Ariyalur,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.481164,0.399874,0.038295,0.025934,0.054732,DMK_ALLIANCE,0.08129
150,Jayankondam,Ariyalur,Central,GEN,0,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.489829,0.374683,0.068945,0.035759,0.030784,DMK_ALLIANCE,0.115146
151,Tittakudi,Cuddalore,Central,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.468962,0.376993,0.070721,0.030662,0.052661,DMK_ALLIANCE,0.091969
152,Vriddhachalam,Cuddalore,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,INC,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.475225,0.41715,0.045708,0.017314,0.044602,DMK_ALLIANCE,0.058075
153,Neyveli,Cuddalore,Central,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.461157,0.370555,0.046542,0.067703,0.054043,DMK_ALLIANCE,0.090602
154,Panruti,Cuddalore,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.528868,0.393947,0.045336,0.011208,0.020641,DMK_ALLIANCE,0.134921
155,Cuddalore,Cuddalore,Central,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.476863,0.376886,0.06834,0.022081,0.055831,DMK_ALLIANCE,0.099977
