ac_no,ac_name,district,region,reservation,urban_rural_type,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021,dmk_alliance_vote_share_2024,aiadmk_alliance_vote_share_2024,bjp_nda_vote_share_2024,ntk_vote_share_2024,others_vote_share_2024,winning_alliance_2024,contesting_alliance_2026,dmk_alliance_candidate_2026,aiadmk_nda_candidate_2026,tvk_candidate_2026,ntk_candidate_2026,bjp_candidate_2026_if_separate,incumbent_party,incumbent_candidate,incumbent_contesting_again,alliance_change_flag,rebel_candidate_flag,strong_local_candidate_flag
57,Palacode,Dharmapuri,North,GEN,needs_source,ANBALAGAN.K.P.,AIADMK,MURUGAN.P.K.,DMK,110070,81970,28100,13.6,87.37,39.6767,53.2782,0.0,0.0,3.729,3.3161,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
58,Pennagaram,Dharmapuri,North,GEN,needs_source,MANI. G.K,PMK,INBASEKARAN. P.N.P,DMK,106123,84937,21186,10.07,85.0,40.3875,0.0,0.0,0.0,4.2533,55.3592,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
59,Dharmapuri,Dharmapuri,North,GEN,needs_source,VENKATESHWARAN.S.P.,PMK,SUBRAMANI.P,DMK,105630,78770,26860,12.36,79.69,36.2439,0.0,0.0,0.0,4.0031,59.753,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
60,Pappireddippatti,Dharmapuri,North,GEN,needs_source,GOVINDASAMY.A,AIADMK,PRABHURAJASEKAR.M,DMK,114507,77564,36943,16.72,82.15,35.0978,51.8145,0.0,0.0,3.4268,9.6609,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
61,Harur,Dharmapuri,North,SC,needs_source,SAMPATHKUMAR.V,AIADMK,KUMAR.A,CPI(M),99061,68699,30362,15.29,78.46,0.0,49.8884,0.0,0.0,5.5146,44.597,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
62,Chengam,Tiruvannamalai,North,SC,needs_source,GIRI.M.P,DMK,NAINAKANNU.M.S,AIADMK,108081,96511,11570,5.17,80.66,48.2612,43.0949,0.0,0.0,5.3941,3.2498,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
63,Tiruvannamalai,Tiruvannamalai,North,GEN,needs_source,E V VELU,DMK,S THANIGAIVEL,BJP,137876,43203,94673,45.33,71.69,66.0212,0.0,20.6875,0.0,6.7014,6.5899,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
64,Kilpennathur,Tiruvannamalai,North,GEN,needs_source,K.Pitchandi,DMK,K.Selvakumar,PMK,104675,77888,26787,13.14,79.35,51.34,0.0,0.0,0.0,5.6605,42.9995,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
65,Kalasapakkam,Tiruvannamalai,North,GEN,needs_source,Saravanan.P.S.T,DMK,Panneerselvam.V,AIADMK,94134,84912,9222,4.69,80.36,47.9214,43.2267,0.0,0.0,4.4911,4.3608,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
66,Polur,Tiruvannamalai,North,GEN,needs_source,Agri KRISHNAMURTHY. S S,AIADMK,SEKARAN. K.V,DMK,97732,88007,9725,4.81,82.33,43.5652,48.3793,0.0,0.0,5.0477,3.0078,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
67,Arani,Tiruvannamalai,North,GEN,needs_source,S.RAMACHANDRAN,AIADMK,S.S.ANBALAGAN,DMK,102961,99833,3128,1.41,79.84,45.0872,46.4999,0.0,0.0,4.738,3.6749,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
68,Cheyyar,Tiruvannamalai,North,GEN,needs_source,JOTHI. O,DMK,DUSI. K. MOHAN,AIADMK,102460,90189,12271,5.72,81.69,47.7758,42.054,0.0,0.0,5.685,4.4852,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
69,Vandavasi,Tiruvannamalai,North,SC,needs_source,Ambethkumar S,DMK,Murali S,PMK,102064,66111,35953,19.33,76.81,54.8808,0.0,0.0,0.0,4.9921,40.1271,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
70,Gingee,Viluppuram,North,GEN,needs_source,MASTHAN K S,DMK,RAJENDIRAN P,PMK,109625,73822,35803,17.31,78.21,52.9897,0.0,0.0,0.0,4.7951,42.2152,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
71,Mailam,Viluppuram,North,GEN,needs_source,SIVAKUMAR C,PMK,Dr. MASILAMANI R,DMK,81044,78814,2230,1.26,79.5,44.5305,0.0,0.0,0.0,4.7122,50.7573,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
72,Tindivanam,Viluppuram,North,SC,needs_source,ARJUNAN P,AIADMK,SEETHAPATHY P,DMK,87152,77399,9753,5.34,78.43,42.4016,47.7446,0.0,0.0,5.0417,4.8121,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
73,Vanur,Viluppuram,North,SC,needs_source,CHAKRAPANI M,AIADMK,VANNI ARASU,VCK,92219,70492,21727,11.92,79.79,0.0,50.6119,0.0,0.0,4.7127,44.6754,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
74,Viluppuram,Viluppuram,North,GEN,needs_source,LAKSHMANAN R,DMK,SHANMUGAM C Ve,AIADMK,102271,87403,14868,7.26,76.97,49.9224,42.6647,0.0,0.0,3.1119,4.301,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
75,Vikravandi,Viluppuram,North,GEN,needs_source,PUGAZHENTHI N,DMK,MUTHAMILSELVAN R,AIADMK,93730,84157,9573,4.94,81.39,48.41,43.4657,0.0,0.0,4.2434,3.8809,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
76,Tirukkoyilur,Viluppuram,North,GEN,needs_source,K.PONMUDY,DMK,VAT.KALIVARADHAN,BJP,110980,51300,59680,30.42,76.27,56.5598,0.0,26.1445,0.0,5.922,11.3737,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
77,Ulundurpettai,Kallakurichi,North,GEN,needs_source,MANIKANNAN A J,DMK,KUMARAGURU R,AIADMK,115451,110195,5256,2.15,82.62,47.1511,45.0046,0.0,0.0,3.6757,4.1686,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
78,Rishivandiyam,Kallakurichi,North,GEN,needs_source,KARTHIKEYAN K,DMK,SANTHOSH S A,AIADMK,113912,72184,41728,19.4,80.18,52.9562,33.5574,0.0,0.0,5.6093,7.8771,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
79,Sankarapuram,Kallakurichi,North,GEN,needs_source,UDHAYASURIYAN T,DMK,Dr.RAJA G,PMK,121186,75223,45963,21.3,79.58,56.1561,0.0,0.0,0.0,4.575,39.2689,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
80,Kallakurichi,Kallakurichi,North,SC,needs_source,Senthilkumar.M,AIADMK,Manirathinem.K.I,INC,110643,84752,25891,11.46,78.16,0.0,48.9879,0.0,37.5245,7.294,6.1936,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
81,Gangavalli,Salem,West,SC,needs_source,"NALLATHAMBI,A.",AIADMK,"REKHA PRIYADHARSHINI,J.",DMK,89568,82207,7361,3.95,77.11,44.0781,48.025,0.0,0.0,4.9988,2.8981,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
82,Attur,Salem,West,SC,needs_source,"JAYASANKARAN, A.P.",AIADMK,"CHINNADURAI, K.",DMK,95308,87051,8257,4.13,77.26,43.5815,47.7153,0.0,0.0,5.1231,3.5801,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
83,Yercaud,Salem,West,ST,needs_source,G. Chitra,AIADMK,C. TAMILSELVAN,DMK,121561,95606,25955,10.86,83.09,40.0152,50.8785,0.0,0.0,5.57,3.5363,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
84,Omalur,Salem,West,GEN,needs_source,R.MANI,AIADMK,RANGARAJAN MOHAN KUMARAMANGALAM,INC,142488,87194,55294,22.2,83.28,0.0,57.2179,0.0,35.0139,3.7811,3.9871,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
85,Mettur,Salem,West,GEN,needs_source,SADHASIVAM.S,PMK,SRINIVASAPERUMAL.S,DMK,97055,96399,656,0.3,75.01,44.1302,0.0,0.0,0.0,4.17,51.6998,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
86,Edappadi,Salem,West,GEN,needs_source,EDAPPADI PALANISWAMI. K,AIADMK,SAMBATHKUMAR. T,DMK,163154,69352,93802,37.93,85.64,28.0436,65.9739,0.0,0.0,2.6793,3.3032,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
87,Sankari,Salem,West,GEN,needs_source,"SUNDARARAJAN, S.",AIADMK,"RAJESH, K.M.",DMK,115472,95427,20045,8.63,83.71,41.0886,49.7195,0.0,0.0,4.6769,4.515,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
88,Salem West,Salem,West,GEN,needs_source,ARUL. R,PMK,RAJENDRAN. A,DMK,105483,83984,21499,9.92,71.81,38.7688,0.0,0.0,0.0,4.9246,56.3066,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
89,Salem North,Salem,West,GEN,needs_source,R. RAJENDRAN,DMK,G.VENKATACHALAM,AIADMK,93432,85844,7588,3.75,72.14,46.1675,42.4181,0.0,0.0,4.0296,7.3848,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
90,Salem South,Salem,West,GEN,needs_source,E.BALASUBRAMANIAN,AIADMK,A.S.SARAVANAN,DMK,97506,74897,22609,11.31,76.0,37.4519,48.7574,0.0,0.0,5.0885,8.7022,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
91,Veerapandi,Salem,West,GEN,needs_source,"RAJAMUTHU, M.",AIADMK,"THARUN, A.K.",DMK,111682,91787,19895,8.89,85.64,41.0309,49.9245,0.0,0.0,4.3835,4.6611,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
92,Rasipuram,Namakkal,West,SC,needs_source,MATHIVENTHAN M,DMK,SAROJA V. Dr,AIADMK,90727,88775,1952,0.99,82.05,46.0768,45.0854,0.0,0.0,5.7363,3.1015,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
93,Senthamangalam,Namakkal,West,ST,needs_source,PONNUSAMY K,DMK,CHANDRAN S,AIADMK,90681,80188,10493,5.27,80.93,45.5146,40.2479,0.0,0.0,5.8494,8.3881,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
94,Namakkal,Namakkal,West,GEN,needs_source,RAMALINGAM P,DMK,BASKAR K.P.P.,AIADMK,106494,78633,27861,13.48,78.57,51.5063,38.0312,0.0,0.0,4.8956,5.5669,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
95,Paramathi-Velur,Namakkal,West,GEN,needs_source,SEKAR S,AIADMK,MOORTHIY K S,DMK,86034,78372,7662,4.17,81.14,42.6637,46.8347,0.0,0.0,6.3605,4.1411,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
96,Tiruchengodu,Namakkal,West,GEN,needs_source,ESWARAN E R,DMK,SARASWATHI PON,AIADMK,81688,78826,2862,1.55,78.71,44.2348,42.685,0.0,0.0,7.5633,5.5169,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
97,Kumarapalayam,Namakkal,West,GEN,needs_source,THANGAMANI.P,AIADMK,M.VENKATACHALAM,DMK,100800,69154,31646,15.67,78.85,34.2474,49.9195,0.0,0.0,6.5569,9.2762,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
98,Erode East,Erode,West,GEN,needs_source,"THIRUMAHAN EVERAA,E.",INC,"YUVARAJA,M.",AIADMK,67300,58396,8904,5.86,66.24,0.0,38.4091,0.0,44.2655,7.6488,9.6766,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
99,Erode West,Erode,West,GEN,needs_source,Muthusamy S,DMK,Ramalingam K V,AIADMK,100757,78668,22089,10.74,69.36,49.0113,38.2666,0.0,0.0,6.4953,6.2268,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
100,Modakkurichi,Erode,West,GEN,needs_source,SARASWATHI.C,BJP,SUBBULAKSHMI JEGADEESAN,DMK,78125,77844,281,0.15,75.26,42.8051,0.0,42.9596,0.0,7.1177,7.1176,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
101,Dharapuram,Tiruppur,West,SC,needs_source,KAYALVIZHI N,DMK,MURUGAN L,BJP,89986,88593,1393,0.72,74.15,46.3867,0.0,45.6686,0.0,3.4811,4.4636,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
102,Kangayam,Tiruppur,West,GEN,needs_source,SAMINATHAN.M.P,DMK,RAMALINGAM.A.S,AIADMK,94197,86866,7331,3.67,77.19,47.1414,43.4726,0.0,0.0,5.6586,3.7274,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
103,Perundurai,Erode,West,GEN,needs_source,"JAYAKUMAR, S.",AIADMK,KKC BALU,DMK,85125,70618,14507,7.64,82.6,37.1981,44.8397,0.0,0.0,5.4224,12.5398,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
104,Bhavani,Erode,West,GEN,needs_source,KARUPPANAN.K.C,AIADMK,DURAIRAJ.K.P,DMK,100915,78392,22523,11.18,83.5,38.9264,50.1105,0.0,0.0,5.1995,5.7636,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
105,Anthiyur,Erode,West,GEN,needs_source,VENKATACHALAM.A.G,DMK,SHANMUGAVEL.K.S,AIADMK,79096,77821,1275,0.72,79.69,44.8428,44.12,0.0,0.0,4.6659,6.3713,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
106,Gobichettipalayam,Erode,West,GEN,needs_source,SENGOTTAIYAN K.A,AIADMK,MANIMARAN G.V,DMK,108608,80045,28563,13.33,82.52,37.3552,50.6848,0.0,0.0,5.469,6.491,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
107,Bhavanisagar,Erode,West,SC,needs_source,A.Bannari,AIADMK,P.L SUNDARAM,CPI,99181,83173,16008,7.98,77.37,0.0,49.4503,0.0,0.0,4.2465,46.3032,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
108,Udhagamandalam,The Nilgiris,West,GEN,needs_source,"GANESH, R.",INC,"BHOJARAJAN, M.",BJP,65530,60182,5348,3.79,67.82,0.0,0.0,42.6514,46.4416,4.5223,6.3847,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
109,Gudalur,The Nilgiris,West,SC,needs_source,PON.JAYASEELAN,AIADMK,"KASILINGAM, S.",DMK,64496,62551,1945,1.41,72.15,45.2426,46.6494,0.0,0.0,5.2923,2.8157,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
110,Coonoor,The Nilgiris,West,GEN,needs_source,"Ramachandran, K.",DMK,"Vinoth, D.",AIADMK,61820,57715,4105,3.02,69.79,45.4867,42.4662,0.0,0.0,5.336,6.7111,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
111,Mettuppalayam,Coimbatore,West,GEN,needs_source,SELVARAJ A K,AIADMK,SHANMUGASUNDARAM T R,DMK,105231,102775,2456,1.09,75.14,45.6609,46.7521,0.0,0.0,4.8666,2.7204,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
112,Avanashi,Tiruppur,West,SC,needs_source,"DHANAPAL, P",AIADMK,ATHIYAMAAN RAJU,DMK,117284,66382,50902,23.94,75.18,31.2199,55.1595,0.0,0.0,6.2344,7.3862,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
113,Tiruppur North,Tiruppur,West,GEN,needs_source,VIJEYAKUMAR.K.N,AIADMK,RAVI (Alias) SUBRAMANIAN . M,CPI,113384,73282,40102,16.84,62.44,0.0,47.6219,0.0,0.0,9.7063,42.6718,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
114,Tiruppur South,Tiruppur,West,GEN,needs_source,SELVARAJ. K.,DMK,GUNASEKARAN. S.,AIADMK,75535,70826,4709,2.7,62.74,43.3069,40.607,0.0,0.0,7.3949,8.6912,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
115,Palladam,Tiruppur,West,GEN,needs_source,ANANDAN M S M,AIADMK,MUTHURATHINAM K,DMK,126903,94212,32691,12.5,66.7,36.026,48.5268,0.0,0.0,7.8482,7.599,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
116,Sulur,Coimbatore,West,GEN,needs_source,KANDASAMY V.P.,AIADMK,PREMIER SELVAM (a)KALICHAMY M,DMK,118968,87036,31932,13.21,75.57,36.0169,49.2309,0.0,0.0,5.9697,8.7825,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
